,Date,infl_rus,MIACR,Infl_exp,M2,Brent,ibk
60,2019-01-31,0.6299999999999955,7.645294117647059,10.1363,47109.3,59.41,3.25978082419678
61,2019-02-28,0.35999999999999943,7.5905000000000005,9.1406,45721.2,63.96,2.14798645322958
62,2019-03-31,0.3100000000000023,7.676,9.39,46212.6,66.14,2.60809165929933
63,2019-04-30,0.2600000000000051,7.745454545454546,9.2639,46141.2,71.23,3.88447149438636
64,2019-05-31,0.29000000000000625,7.7155555555555555,9.4292,46435.9,71.32,5.10647437147608
65,2019-06-30,0.23000000000000398,7.576842105263158,9.3712,46735.3,64.22,3.14388089707245
66,2019-07-31,0.20000000000000284,7.320434782608696,9.1104,47349.4,63.92,2.05177646486175
67,2019-08-31,0.1700000000000017,7.132272727272727,8.8941,47351.0,59.04,3.21176133576864
68,2019-09-30,0.15000000000000568,6.855714285714286,8.6122,47584.1,62.83,1.87479095528016
69,2019-10-31,0.1599999999999966,6.789999999999999,8.2566,48266.8,59.71,4.02838794307473
70,2019-11-30,0.21999999999999886,6.457000000000001,9.0219,48082.4,63.21,5.37918126574485
71,2019-12-31,0.14000000000000057,6.151363636363637,8.2594,49195.3,67.31,4.40088888564762
72,2020-01-31,0.1700000000000017,6.038823529411765,7.9343,51660.3,63.65,3.96026166702919
73,2020-02-29,0.10999999999999943,5.938421052631579,7.8881,50622.9,55.66,4.04672214729982
74,2020-03-31,0.5100000000000051,5.79421052631579,7.9881,51314.2,32.01,-0.0345890479332525
75,2020-04-30,0.5,5.994736842105263,8.2881,52327.0,18.38,-25.5026738865845
76,2020-05-31,0.28000000000000114,5.468823529411765,8.4881,52951.7,29.38,-23.7840091935652
77,2020-06-30,0.269999999999996,4.994,8.5881,53068.0,40.27,-10.5292984722799
78,2020-07-31,0.2600000000000051,4.2290909090909095,8.8231,54392.6,43.24,-0.881015897965568
79,2020-08-31,0.3199999999999932,4.155238095238095,8.9478,54687.4,44.74,1.3998609540113
80,2020-09-30,0.29999999999999716,4.165,9.668,55294.2,40.91,0.899702488761136
81,2020-10-31,0.45999999999999375,4.174090909090909,10.1207,56023.9,40.19,-0.29346846531098
82,2020-11-30,0.5,4.061999999999999,11.507,55871.6,42.69,-3.65502327298853
83,2020-12-31,0.45999999999999375,4.171304347826087,10.4836,56122.6,49.99,-3.30697074100428
84,2021-01-31,0.5,4.306,9.8636,58652.1,54.77,-0.130784332703655
85,2021-02-28,0.5799999999999983,4.057894736842105,10.0714,57598.4,62.28,2.47219834957525
86,2021-03-31,0.8299999999999983,4.222272727272728,11.879,58178.2,65.41,4.66675296495458
87,2021-04-30,0.5799999999999983,4.514545454545455,11.3279,58261.6,64.81,7.66772667203145
88,2021-05-31,0.8199999999999932,4.791052631578947,11.9136,59206.3,68.53,8.38960571226141
89,2021-06-30,0.75,5.1033333333333335,13.3997,59194.1,73.16,5.90664417566401
90,2021-07-31,0.46999999999999886,5.759545454545454,12.4946,59583.9,75.17,4.32390106249409
91,2021-08-31,0.5900000000000034,6.297272727272727,12.3028,59379.7,70.75,4.33496287951283
92,2021-09-30,0.8100000000000023,6.569090909090909,13.6222,59816.9,74.49,4.94921312392597
93,2021-10-31,0.8499999999999943,6.809523809523809,13.4727,60606.2,83.54,5.42814955489015
94,2021-11-30,1.1400000000000006,7.331999999999999,14.7674,60813.7,81.05,3.22866422662528
95,2021-12-31,0.6299999999999955,7.617727272727273,13.7279,62312.5,74.17,4.52395018900512
96,2022-01-31,0.8199999999999932,8.286249999999999,13.5372,66252.9,86.51,5.3667134038669
97,2022-02-28,1.0400000000000063,9.565263157894737,18.3345,65310.3,97.13,5.23155669615574
98,2022-03-31,9.049999999999997,19.873636363636365,12.5387,66659.7,117.25,-10.0080650647115
99,2022-04-30,2.010000000000005,17.08047619047619,11.4809,68203.5,104.58,-6.64542402454359
100,2022-05-31,0.4000000000000057,13.253333333333334,12.3659,68475.3,113.34,-3.53734659279377
101,2022-06-30,0.18000000000000682,9.634761904761904,10.8218,68993.41499249001,122.71,-0.910627737455457
102,2022-07-31,-0.18000000000000682,8.9,11.9815,69623.2,111.93,1.12364673416764
103,2022-08-31,0.0,7.938695652173913,12.4884,70825.4,100.45,1.86696330838529
104,2022-09-30,0.29999999999999716,7.678181818181818,12.8386,73333.3,89.76,3.52767954733113
105,2022-10-31,0.030000000000001137,7.672380952380952,12.2257,75096.8,93.33,-1.18431595447831
106,2022-11-30,0.18000000000000682,7.314285714285714,12.1275,75636.5,91.42,0.734274507992325
107,2022-12-31,-0.030000000000001137,7.310454545454546,11.6154,76873.3,80.92,2.80246862147311
108,2023-01-31,0.29999999999999716,6.997647058823529,12.1595,82388.0,82.5,3.09835676021697
109,2023-02-28,0.12999999999999545,7.113333333333333,10.7132,82221.7,82.59,5.52420128004317
110,2023-03-31,0.37000000000000455,7.354090909090909,10.3542,83955.9,78.43,6.78239177163923
111,2023-04-30,0.3100000000000023,7.1594999999999995,10.8053,84813.4,84.64,9.10977926549759
112,2023-05-31,0.519999999999996,7.251,10.1907,84636.0,75.47,7.71843766874275
113,2023-06-30,0.4899999999999949,7.331904761904762,11.0586,86197.3,74.84,8.55318864766022
114,2023-07-31,0.5300000000000011,7.827142857142857,11.5194,87276.8,80.11,6.44870882254261
115,2023-08-31,0.75,10.331304347826087,11.7208,88294.0,86.15,5.74996910312501
116,2023-09-30,0.9200000000000017,12.28095238095238,11.165,90110.9,93.72,6.50343775655321
117,2023-10-31,0.8900000000000006,13.076818181818181,12.1777,90597.3,90.6,6.49821144593798
118,2023-11-30,1.0100000000000051,14.786666666666665,14.2423,91134.7,82.94,6.94137452329846
119,2023-12-31,0.4099999999999966,15.181904761904761,12.7157,92546.9,77.63,8.0971995883005
120,2024-01-31,0.5999999999999943,15.682941176470589,11.8985,98385.4,80.12,7.18528079946853
121,2024-02-29,0.5400000000000063,15.793000000000001,11.4659,97816.7,83.48,7.44206245148706
122,2024-03-31,0.5999999999999943,15.5505,10.9688,99422.0,85.41,10.3106579618892
123,2024-04-30,0.7099999999999937,15.702380952380953,11.7072,99595.8,89.94,10.3050691040052
124,2024-05-31,0.8700000000000045,16.008000000000003,11.9129,103107.4,81.75,10.6309560259155
125,2024-06-30,0.5799999999999983,15.734210526315788,12.4143,102519.1,82.25,10.2313682922158
126,2024-07-31,0.4000000000000057,16.16217391304348,12.8889,103557.2,85.15,7.10037805712494
127,2024-08-31,0.5999999999999943,17.76090909090909,12.5205,104351.3,80.36,6.02044899686072
128,2024-09-30,0.75,18.46,13.4127,106242.7,74.02,4.60748263612436
129,2024-10-31,0.8100000000000023,18.925217391304347,13.3667,107629.5,75.63,5.30767438569953
130,2024-11-30,1.0999999999999943,20.645714285714284,13.9412,108947.9,74.35,5.00650531640972
131,2024-12-31,1.019999999999996,21.14,14.033,111025.2,73.86,4.33487607023696
